Model,Accuracy,Precision,Recall,F1,ROC AUC,PR AUC
Logistic Regression,0.864,0.8507462686567164,0.7566371681415929,0.8009367681498829,0.9212522456583938,0.8898036703969253
Random Forest,0.9488,0.9754901960784313,0.8805309734513275,0.9255813953488372,0.9883003970102247,0.9855859280636692
XGBoost,0.9536,0.966824644549763,0.9026548672566371,0.9336384439359268,0.9931687626145008,0.9901892453061866
Hybrid RF + XGBoost + Isolation Forest,0.9552,0.9759615384615384,0.8982300884955752,0.9354838709677419,0.9919045401113402,0.9901436570804037
