Model,Accuracy,Precision,Recall,F1,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
XGBoost,0.9123305640577175,0.8871957413954245,0.9632489190858554,0.9236594394500265,0.9853838717831923,0.9892073622068495,0.15005405405405406,0.036751080914144536
Random Forest,0.8694189379585094,0.8147561575009558,0.9873158034059826,0.8927741485064579,0.9800455572818915,0.9833945221909123,0.275027027027027,0.01268419659401747
Hybrid RF + XGBoost + Isolation Forest,0.868010008259243,0.8125283374743829,0.9883084796611665,0.8918394362552379,0.978688914638189,0.9809885616485036,0.27937837837837837,0.011691520338833495
Logistic Regression,0.8356046251761162,0.8023160737036262,0.9307553163328334,0.8617763298985918,0.9559441215679634,0.966672783541058,0.28097297297297297,0.06924468366716668
