Model,Threshold,Accuracy,Precision,Recall,F1,ROC AUC,PR AUC,False Positives,False Negatives,False Positive Rate,False Negative Rate,Fit Time Seconds,Predict Time Seconds,Milliseconds Per 1000 Records
XGBoost,0.5,0.9134236991692173,0.8875116647056437,0.9650798552898615,0.9246718660833175,0.9854079610250858,0.9891952265039046,5545,1583,0.14986486486486486,0.03492014471013853,4.599134199961554,0.32420750003075227,3.93780668550202
Fusion RF + XGBoost + IF,0.5,0.8832288782004567,0.8341003479627344,0.9835436336362834,0.9026785171987933,0.9835623883611839,0.9872452778372435,8868,746,0.2396756756756757,0.01645636636371658,327.9004239999922,2.8152848000172526,34.19429626411666
Fusion RF + XGBoost,0.5,0.8831802944177234,0.83381313792201,0.983940704138357,0.9026774330641734,0.9843786308699064,0.9883568650951983,8890,728,0.24027027027027026,0.01605929586164299,326.2720975999837,1.9438472000183538,23.609862508117786
Random Forest,0.5,0.869880483894476,0.815159404985161,0.9876246360187064,0.8931424866590195,0.9796433686841345,0.982728343249666,10152,561,0.27437837837837836,0.012375363981293568,321.63912090001395,1.6143700000247918,19.60805033310003
Logistic Regression,0.5,0.8357625224699995,0.8031718196027601,0.9294979264096003,0.8617297584718899,0.9555832953751422,0.9663186103561404,10326,3196,0.2790810810810811,0.07050207359039971,6.529004600015469,0.014080399996601045,0.17101977355828893
Isolation Forest Score,0.5,0.45207209833357626,0.558078141499472,0.023316862260654724,0.04476347774530979,0.360820056114528,0.48644657008375464,837,44275,0.02262162162162162,0.9766831377393452,1.6277975999983028,0.8711223999853246,10.58060535375461
