Model,Threshold,Accuracy,Precision,Recall,F1,ROC AUC,PR AUC,False Positives,False Negatives,False Positive Rate,False Negative Rate,Policy
XGBoost,0.5,0.9134236991692173,0.8875116647056437,0.9650798552898615,0.9246718660833175,0.9854079610250858,0.9891952265039046,5545,1583,0.14986486486486486,0.03492014471013853,Default 0.50
XGBoost,0.33,0.876597191857358,0.8236647403099349,0.9872275655166328,0.8980595187927678,0.9854079610250858,0.9891952265039046,9581,579,0.25894594594594594,0.012772434483367158,F1-tuned
XGBoost,0.24000000000000002,0.8430257979886314,0.7799101744688202,0.9959631165622518,0.8747941330336556,0.9854079610250858,0.9891952265039046,12741,183,0.34435135135135136,0.004036883437748169,Recall-oriented
Fusion RF + XGBoost + IF,0.5,0.8832288782004567,0.8341003479627344,0.9835436336362834,0.9026785171987933,0.9835623883611839,0.9872452778372435,8868,746,0.2396756756756757,0.01645636636371658,Default 0.50
Fusion RF + XGBoost + IF,0.36000000000000004,0.8663703055919934,0.8094242347766522,0.9905144268949087,0.8908596710513264,0.9835623883611839,0.9872452778372435,10572,430,0.2857297297297297,0.009485573105091327,F1-tuned
Fusion RF + XGBoost + IF,0.22,0.8451270465918477,0.7824534026874729,0.995499867643166,0.876212296251711,0.9835623883611839,0.9872452778372435,12547,204,0.3391081081081081,0.004500132356834025,Recall-oriented
